title_romaji,title_english,meanScore,R_expected,OI,Interpretation
YooHoo Chingudeul,YooHoo & Friends (Season 1),70.0,35.170448270431066,34.829551729568934,Overrated
Chiikawa,Chiikawa,84.0,50.811986610632246,33.188013389367754,Overrated
Choegangjeonsa Mini Teukgongdae Part 2,Mini Force 2,68.0,37.48040210159473,30.519597898405273,Overrated
Spookiz 3,Spookiz Season 3,71.0,40.75659904048457,30.243400959515427,Overrated
PazuDora,Puzzle & Dragon,72.0,42.120415777486244,29.879584222513756,Overrated
Mini Teukgongdae X Part 2,Mini Force X 2,70.0,41.43894668609386,28.561053313906143,Overrated
Doggie Corgi,Doggy Corgi,67.0,39.499795897888845,27.500204102111155,Overrated
Mohuan Xian Zong,Magic Wonderland,59.0,32.30266500901313,26.697334990986867,Overrated
Dianji Xiaozi,Electro Boy,65.0,38.35070566372802,26.64929433627198,Overrated
Power Battle Watch Car,Power Battle Watch Car,67.0,40.5547430079241,26.445256992075898,Overrated
Spookiz 4,Spookiz Season 4,62.0,36.03222342441289,25.96777657558711,Overrated
Spookiz 2,Spookiz Season 2,63.0,38.283821301546,24.716178698454,Overrated
Himitsu no Moumaku,The Esoteric Retina,60.0,35.40671752285055,24.59328247714945,Overrated
Girigiri Warukunai Watame,Watame Did Borderline Nothing Wrong,74.0,49.734445546577845,24.265554453422155,Overrated
Viva Happy,Viva Happy,75.0,50.92795958158783,24.072040418412172,Overrated
Jian Lai 2nd Season,Sword of Coming 2nd Season,85.0,60.95814977768097,24.041850222319027,Overrated
Play Ball,Play Ball,72.0,49.37402276869701,22.62597723130299,Overrated
Kkoma Bus Tayo 2,Tayo the Little Bus Season 2,58.0,35.50741465828504,22.492585341714957,Overrated
Seton Doubutsuki,Seton Animal Chronicles,78.0,55.75224326552912,22.247756734470883,Overrated
Xian Ni,Renegade Immortal,83.0,60.75913592589931,22.240864074100692,Overrated
Gonfu Tu Yu Cai Bao Gou,Kung Fu Bunny,60.0,37.90200927459659,22.097990725403413,Overrated
Yuusha-Ou GaoGaiGar FINAL,The King of Braves: GaoGaiGar Final,81.0,59.04886454952509,21.951135450474908,Overrated
Mini Teukgongdae: Super Gongnyong Power,Miniforce: Super Dino Power,61.0,39.187177698790734,21.812822301209266,Overrated
Luo Xiaohei Zhan Ji,The Legend of Luoxiaohei,77.0,55.56215764440459,21.437842355595407,Overrated
Kingdom 6th Season,Kingdom Season 6,86.0,64.59227724523124,21.407722754768756,Overrated
Rainbow Bubblegem,Rainbow Bubblegem,74.0,52.665770166507244,21.334229833492756,Overrated
Banjjagbanjjag Catch! Tiniping,Twinkle Catch! Teenieping,71.0,49.70739490586662,21.29260509413338,Overrated
Shen Wu Tianzun,The Legend of Sky Lord,71.0,49.76069013324612,21.239309866753878,Overrated
Jing: Shuang Cheng,The Mirror: Twin Cities,75.0,53.77015107968446,21.22984892031554,Overrated
Fabre Sensei wa Meitantei,Dr. Fabre is a Detective,74.0,52.798914767142556,21.201085232857444,Overrated
Share the Warmth,Share the Warmth,65.0,44.07583168803069,20.92416831196931,Overrated
Play Ball 2nd,Play Ball 2nd,70.0,49.22832131543028,20.77167868456972,Overrated
Power Battle Watch Car: Watch Gamyeon-ui Yeokseup,Power Battle Watch Car: Return of the Watch Mask,60.0,39.370391453472294,20.629608546527706,Overrated
Fate/Grand Order CMs,Fate/Grand Order CMs,73.0,52.373607871457246,20.626392128542754,Overrated
Kkoma Bus Tayo 5,Tayo the Little Bus Season 5,64.0,43.45957611713683,20.540423882863173,Overrated
MILGRAM,MILGRAM,83.0,62.687011172871365,20.312988827128635,Overrated
Power Battle Watch Car Season 2,Power Battle Watch Car Season 2,62.0,41.74553492318287,20.254465076817127,Overrated
Canimals,Canimals ,64.0,43.88994919386878,20.11005080613122,Overrated
MILGRAM Second Season,MILGRAM The Second Trial,86.0,65.95384101771015,20.046158982289853,Overrated
Otenki Pokojirou,Pokojiro's Weather Report,51.0,30.979920547242568,20.020079452757432,Overrated
Tianxin Gege,Ori-Princess,66.0,46.069561645955034,19.930438354044966,Overrated
Wanmei Shijie,Perfect World,77.0,57.14287806806186,19.85712193193814,Overrated
Arknights Anime PVs,Arknights Animation PVs,74.0,54.34991303253979,19.65008696746021,Overrated
Kimi mo Warui Hito de Yokatta,I'm glad you're evil too,74.0,54.406969488730454,19.593030511269546,Overrated
NG Kishi Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,NG Knight Lamune & 40 EX,72.0,52.500249875647135,19.499750124352865,Overrated
He Nüer de Richang,Grow Up with my Daughter,66.0,46.67021040019758,19.329789599802417,Overrated
Kkoma Bus Tayo 3,Tayo the Little Bus Season 3,57.0,37.69182587771796,19.30817412228204,Overrated
Serendipity Monogatari: Pyuatou no Nakamatachi,Serendipity the Pink Dragon,70.0,50.767600839361364,19.232399160638636,Overrated
Sylvanian Families: Mini Story Ivy,Calico Critters: Mini Episodes -Ivy-,58.0,38.76964471150047,19.23035528849953,Overrated
MILGRAM Third Season,MILGRAM The Third Trial,77.0,58.194722201984455,18.805277798015545,Overrated
I.CINNAMOROLL Animation,I.CINNAMOROLL Animation,71.0,52.278838546738356,18.721161453261644,Overrated
Soukou Kihei Votoms: VOL.I STORIES OF THE A.T. VOTOMS,Armored Trooper Votoms: Vol.1 Stories of the 'A.T. VOTOMS',71.0,52.38218099075428,18.61781900924572,Overrated
Mahou no Tenshi Creamy Mami: Zutto Kitto Motto,Creamy Mami: Zutto Kitto Motto,69.0,50.52559794621278,18.474402053787223,Overrated
Thunderbolt Fantasy: Touriken Yuuki,Thunderbolt Fantasy: Sword Travels in the East,80.0,61.55461829251428,18.445381707485723,Overrated
Kkoma Bus Tayo 4,Tayo the Little Bus Season 4,58.0,39.58642409608857,18.41357590391143,Overrated
Chibi Maruko-chan (1995),Chibi Maruko-chan,75.0,56.61160963099594,18.388390369004057,Overrated
Choegangjeonsa Mini Teukgongdae,Mini Force,59.0,40.63150315337847,18.368496846621532,Overrated
Bai Lian Cheng Shen 3,Apotheosis 3,84.0,65.71250647033807,18.28749352966193,Overrated
Chibi Godzilla no Gyakushuu 3,Chibi Godzilla Raids Again Season 3,69.0,50.810643441348034,18.189356558651966,Overrated
Kingdom 3rd Season,Kingdom Season 3,86.0,67.87108408944411,18.12891591055589,Overrated
Thunderbolt Fantasy: Touriken Yuuki 2,Thunderbolt Fantasy Sword Seekers 2,82.0,63.89402799106673,18.10597200893327,Overrated
Xin Shen Bang: Yang Jian,New Gods: Yang Jian,75.0,56.964093373778475,18.035906626221525,Overrated
Shen Lan Qi Yu Wushuang Zhu,The Land of Miracles,76.0,58.10477175910855,17.89522824089145,Overrated
Doraemon: Nobita to Mugen Sankenshi,Doraemon: Nobita's Fantastical Three Musketeers,72.0,54.145484647217046,17.854515352782954,Overrated
Thunderbolt Fantasy: Touriken Yuuki 3,Thunderbolt Fantasy Sword Seekers 3,82.0,64.19729256286094,17.802707437139063,Overrated
Zichuan,Purple River,73.0,55.21281199667493,17.78718800332507,Overrated
NIGHT OWL,NIGHT OWL,79.0,61.28219741643402,17.717802583565977,Overrated
Shoujo Kakumei Keikaku,GIRLS REVOLUTION PROJECT,66.0,48.404194091724605,17.595805908275395,Overrated
Juan Siliang,The Island of Siliang,76.0,58.543433530409,17.456566469591003,Overrated
Kkoma Bus Tayo-ui Ace Guchuljakjeon,The Tayo Movie: Mission Ace,59.0,41.63848975654574,17.361510243454262,Overrated
Tokyo Ghetto,Tokyo Ghetto,79.0,61.69734326146993,17.302656738530068,Overrated
Shitsuke Bideo Hello Kitty to Issho,Growing Up With Hello Kitty,71.0,53.75322440225423,17.246775597745767,Overrated
Uma Musume: Cinderella Gray Part 2,Umamusume: Cinderella Gray 2nd Cour,86.0,68.7584239094072,17.2415760905928,Overrated
Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,75.0,57.760445847080504,17.239554152919496,Overrated
Fate/Grand Order: Memorial Movie 2023,Fate/Grand Order - Memorial Movie 2023 ,86.0,68.83486298580921,17.16513701419079,Overrated
Oi! Ryouma,Rainbow Samurai,75.0,57.88691746828489,17.113082531715108,Overrated
Chiring Chiring Secret Jouju (Season 1),Secret Jouju (Season 1),53.0,36.014642516993014,16.985357483006986,Overrated
Feng Qi Luoyang: Shen Ji Shaonian,Luoyang ,70.0,53.0522724555417,16.947727544458303,Overrated
Haou Taikei Ryuu Knight: Adeu Legend II,Lord of Lords Ryu Knight: Adeu's Legend II,69.0,52.052699495424164,16.947300504575836,Overrated
He Nüer de Richang 2,Grow up with my Daughter Season 2,57.0,40.198551797759734,16.801448202240266,Overrated
Soukyuu no Fafner: Dead Aggressor - THE BEYOND Part 3,Fafner THE BEYOND Part 3,76.0,59.237740741485716,16.762259258514284,Overrated
Mini Teukgongdae Gongnyong-wang Dino,Mini Force: Deeno the King of Dinosaurs,56.0,39.295355379864205,16.704644620135795,Overrated
Tomica Heroes Jobraver: Tokusou Gattai Robo,JOBRAVER Animation,60.0,43.33543324596115,16.66456675403885,Overrated
Hidamari Sketch: Sae Hiro Sotsugyou-hen,Hidamari Sketch Sae & Hiro Graduation,82.0,65.3499191707957,16.6500808292043,Overrated
Papuwa,Papuwa,69.0,52.39016569762061,16.60983430237939,Overrated
Datsugoku,Jailbreak,70.0,53.402370231423795,16.597629768576205,Overrated
IDOLiSH7: Third BEAT! Part 2,IDOLiSH7 Third BEAT! Part 2,84.0,67.45313782117572,16.546862178824284,Overrated
from beyond the stage,from beyond the stage,72.0,55.4542630569113,16.5457369430887,Overrated
Outsider,Outsider,77.0,60.4555916386813,16.544408361318702,Overrated
Mini Teukgongdae: Super Gongnyong Power Part 2,Miniforce: Super Dino Power 2,58.0,41.54446442653051,16.45553557346949,Overrated
Yuusha-Ou GaoGaiGar FINAL Grand Glorious Gathering,King of Braves GaoGaiGar Final Grand Glorious Gathering,77.0,60.6816350599236,16.3183649400764,Overrated
Shishunki no Obenkyou,Sex Studies,73.0,56.717397762943456,16.282602237056544,Overrated
Wonder 3,The Amazing 3,73.0,56.73567135791538,16.26432864208462,Overrated
Mori no Ratio,Ratio of Forest,62.0,45.79661606576182,16.203383934238182,Overrated
Kkoma Bus Tayo 6,Tayo the Little Bus Season 6,61.0,44.80577702512929,16.194222974870712,Overrated
Soshite Kimi wa Tsuki ni Natta,And Then You Became the Moon,65.0,48.87125447264201,16.128745527357992,Overrated
Pastel Tea Time,Pastel Tea Time,68.0,51.8790984191461,16.120901580853896,Overrated
Aikatsu! 4,Aikatsu! 4,78.0,61.97894324954455,16.02105675045545,Overrated
Zhiqu Yang Xuetang: Diqiu Jianianhua,Pleasant Goat Fun Class: The Earth Carnival,54.0,37.991728794979714,16.008271205020286,Overrated
I~ya I~ya I~ya,Whatever Whatever Whatever,73.0,57.00303488661805,15.996965113381947,Overrated
Gene Diver,Gene Diver,70.0,54.14732025685316,15.852679743146837,Overrated
Shaonian Ge Xing: Feng Hua Xue Yue Pian,Youths and Golden Coffin 2,73.0,57.158011002809914,15.841988997190086,Overrated
Salad Juu Yuushi Tomatoman,Tomatoman,74.0,58.16924985707841,15.830750142921588,Overrated
Doraemon: Boku no Umareta Hi,Doraemon: The Day When I Was Born,71.0,55.2843588345312,15.715641165468803,Overrated
Hajime no Ippo: THE FIGHTING! Boxer no Kobushi,Hajime no Ippo: The Fighting! - Boxer's Fist,79.0,63.28921894068309,15.710781059316908,Overrated
You Shou Yan 4,Fabulous Beasts 4,83.0,67.29516963949507,15.704830360504928,Overrated
Doraemon: Nobita no Nippon Tanjou,Doraemon: Nobita at the Birth of Japan,69.0,53.295633793030106,15.704366206969894,Overrated
Suki na Koto Dake de ii Desu,All I Need are Things I Like,69.0,53.30459072499856,15.695409275001438,Overrated
Obake no Ukenerai,Ghosts Play to the Audience,72.0,56.40289867042859,15.597101329571409,Overrated
Jian Lai,Sword of Coming,78.0,62.404031837937595,15.595968162062405,Overrated
Ojarumaru,Prince Mackaroo,60.0,44.40653055580774,15.593469444192259,Overrated
Tunshi Xingkong,Swallowed Star,79.0,63.414811960008805,15.585188039991195,Overrated
Aoki Ryuusei SPT Layzner OVA,Blue Comet SPT Layzner,71.0,55.44320705716231,15.556792942837689,Overrated
Gintama.,Gintama Season 4,89.0,73.4644181557681,15.5355818442319,Overrated
Kasumin 1st Series,Mistin,70.0,54.46914533564339,15.53085466435661,Overrated
Apple dot com,Apple dot com,71.0,55.53822142333389,15.461778576666113,Overrated
Modao Zushi Q,The Master of Diabolism Q,82.0,66.6273732882973,15.372626711702694,Overrated
Dappou Rock,Law-evading Rock,65.0,49.637553140194285,15.362446859805715,Overrated
Mei Houwang,Monkey King,58.0,42.68424541158575,15.31575458841425,Overrated
Muu,MW,74.0,58.69551489802197,15.304485101978031,Overrated
Inochi Bakkari,It's Just Life,69.0,53.70479130847616,15.29520869152384,Overrated
Meitantei Conan: Conan to Kid to Crystal Mother,Case Closed: Conan and Kid and Crystal Mother,72.0,56.71062350027333,15.289376499726671,Overrated
Shinobi no Susume,An Encouragement of Ninja,75.0,59.77930417965098,15.220695820349022,Overrated
Motivation ga Shinderu,Motivation is Dead,65.0,49.832375844022195,15.167624155977805,Overrated
Sore Ike! Anpanman: Omocha no Hoshi no Nanda to Runda,Anpanman: Nanda and Runda from the Star of Toys,62.0,46.97440413461437,15.025595865385633,Overrated
Legendz: Yomigaeru Ryuuou Densetsu,Legendz: Tale of the Dragon Kings,74.0,59.001442426633666,14.998557573366334,Overrated
Shimajirou no Wow!,Shimajiro: A Wonderful Adventure,51.0,36.00332048409777,14.99667951590223,Overrated
Luo Xiaohei Zhan Ji 2,The Legend of Hei 2,86.0,71.04595138440523,14.954048615594772,Overrated
Yume no Hoshi no Button Nose,Dream Star Button Nose,68.0,53.07108043420213,14.92891956579787,Overrated
IDOLiSH7: Second BEAT!,IDOLiSH7 Second BEAT!,81.0,66.09214067766645,14.90785932233355,Overrated
