id,title_english,title_romaji,format,Predicted_Score,P_finish,FinalScore,Confidence
107179,Dramaturgy,Dramaturgy,MUSIC,83.1,0.981,90.0999984741211,High
10643,,Gintama: Dai Hanseikai,SPECIAL,83.1,0.985,90.0999984741211,High
154164,,Violet Evergarden CM,ONA,83.0,0.979,90.0,High
20,Naruto,NARUTO,TV,82.7,0.986,89.69999694824219,High
9735,,Gintama: Shinyaku Benizakura-hen Special,SPECIAL,82.6,0.985,89.5999984741211,High
253,Haré+Guu,Jungle wa Itsumo Hare nochi Guu,TV,82.5,0.974,89.5,High
21501,,Gintama: Jump Festa 2015 Special,SPECIAL,82.4,0.987,89.4000015258789,High
254,Haré+Guu Deluxe,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,82.0,0.984,89.0,High
9204,Heart and Yummie,Omae Umasou da na,MOVIE,81.9,0.983,88.9000015258789,High
7616,,Michi,OVA,81.8,0.98,88.80000305175781,High
6591,Samurai X DVD-BOX Special Ending,Rurouni Kenshin DVD-BOX Special Ending,SPECIAL,81.8,0.982,88.80000305175781,High
4921,Ramayana: The Legend of Prince Rama,Ramayana: Rama Ouji Densetsu,MOVIE,81.8,0.977,88.80000305175781,High
793,xxxHOLiC - A Midsummer Night's Dream,xxxHOLiC: Manatsu no Yoru no Yume,MOVIE,81.7,0.976,88.69999694824219,High
8098,Fafner: Heaven and Earth,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,MOVIE,81.6,0.983,88.5999984741211,High
6024,Chi's Sweet Home - Chi's New Address,Chi's Sweet Home: Atarashii Ouchi,TV_SHORT,81.6,0.959,88.5999984741211,High
255,,Jungle wa Itsumo Hare nochi Guu FINAL,OVA,81.4,0.982,88.4000015258789,High
589,,Ginga: Nagareboshi Gin,TV,81.4,0.959,88.4000015258789,High
20464,HAIKYU!!,Haikyuu!!,TV,84.2,0.986,88.38278436584514,High
6421,Fullmetal Alchemist: Brotherhood OVA Collection,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode,OVA,81.2,0.983,88.19999694824219,High
121664,,DAICON IV Opening Animation,MOVIE,81.2,0.982,88.19999694824219,High
6399,Eden of the East: Falling Down,Higashi no Eden: Falling Down,MUSIC,81.1,0.965,88.0999984741211,High
1961,One Stormy Night,Arashi no Yoru ni,MOVIE,81.1,0.978,88.0999984741211,High
1301,Galaxy Express 999 (Movie),Ginga Tetsudou 999 (Movie),MOVIE,81.1,0.98,88.0999984741211,High
8626,,Good Morning,MUSIC,81.1,0.942,88.0999984741211,High
17273,Hetalia: The Beautiful World OVA,Hetalia: The Beautiful World OVA,OVA,81.0,0.975,88.0,High
